date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2006-03-03,600640,4.23,4.19,4.3,4.08,5264,2482351.0,5.19,-1.18,-0.05,0.86
2006-03-23,600640,4.42,4.36,4.44,4.28,10334,5065560.0,3.82,4.06,0.17,1.7
2006-03-24,600640,4.33,4.2,4.38,4.16,9213,4421207.0,5.05,-3.67,-0.16,1.51
2006-03-27,600640,4.18,4.3,4.33,4.18,5234,2517838.0,3.57,2.38,0.1,0.86
2006-03-28,600640,4.3,4.44,4.45,4.3,11969,5904540.0,3.49,3.26,0.14,1.97
2006-03-29,600640,4.45,4.41,4.53,4.4,10451,5244190.0,2.93,-0.68,-0.03,1.72
2006-03-30,600640,4.41,4.37,4.43,4.35,5546,2734917.0,1.81,-0.91,-0.04,0.91
2006-03-31,600640,4.35,4.32,4.4,4.27,5858,2863841.0,2.97,-1.14,-0.05,0.96
2006-04-03,600640,4.35,4.4,4.5,4.35,8601,4285706.0,3.47,1.85,0.08,1.41
2006-04-04,600640,4.4,4.61,4.64,4.37,17656,8956385.0,6.14,4.77,0.21,2.9
2006-04-05,600640,4.61,4.62,4.67,4.51,19728,10127808.0,3.47,0.22,0.01,3.24
2006-04-25,600640,3.22,3.13,3.45,2.98,38213,14226941.0,10.17,-32.25,-1.49,4.65
2006-04-26,600640,3.05,2.9,3.05,2.76,34391,11753941.0,9.27,-7.35,-0.23,4.19
2006-04-27,600640,2.93,2.9,3.0,2.84,15030,5183197.0,5.52,0.0,0.0,1.83
2006-04-28,600640,2.75,2.83,2.87,2.73,18300,6140210.0,4.83,-2.41,-0.07,2.23
2006-05-08,600640,2.81,2.95,3.0,2.8,17337,5999999.0,7.07,4.24,0.12,2.11
2006-05-09,600640,2.95,3.19,3.23,2.95,26652,9778312.0,9.49,8.14,0.24,3.24
2006-05-10,600640,3.2,3.3,3.37,3.07,30037,11274710.0,9.4,3.45,0.11,3.66
2006-05-11,600640,3.31,3.18,3.43,3.16,33592,12979612.0,8.18,-3.64,-0.12,4.09
2006-05-12,600640,3.18,3.43,3.49,3.15,43684,17255747.0,10.69,7.86,0.25,5.32
2006-05-15,600640,3.47,3.74,3.75,3.35,48708,19903731.0,11.66,9.04,0.31,5.93
2006-05-16,600640,3.72,3.4,3.73,3.38,37022,15132539.0,9.36,-9.09,-0.34,4.51
2006-05-17,600640,3.38,3.56,3.59,3.38,29071,11746521.0,6.18,4.71,0.16,3.54
2006-05-18,600640,3.55,3.65,3.66,3.42,29736,12207695.0,6.74,2.53,0.09,3.62
2006-05-19,600640,3.75,3.76,3.85,3.66,39757,17030610.0,5.21,3.01,0.11,4.84
2006-05-22,600640,3.71,3.94,4.01,3.61,47173,20682717.0,10.64,4.79,0.18,5.74
2006-05-23,600640,3.88,3.62,3.88,3.61,27886,11947588.0,6.85,-8.12,-0.32,3.39
2006-05-24,600640,3.52,3.4,3.72,3.35,18512,7484029.0,10.22,-6.08,-0.22,2.25
2006-05-25,600640,3.4,3.44,3.51,3.31,10405,4128348.0,5.88,1.18,0.04,1.27
2006-05-26,600640,3.5,3.56,3.65,3.44,15034,6165270.0,6.1,3.49,0.12,1.83
2006-05-29,600640,3.56,3.73,3.75,3.47,20634,8672443.0,7.87,4.78,0.17,2.51
2006-05-30,600640,3.72,3.69,3.77,3.6,15623,6587004.0,4.56,-1.07,-0.04,1.9
2006-05-31,600640,3.68,3.59,3.74,3.54,20680,8654788.0,5.42,-2.71,-0.1,2.52
2006-06-01,600640,3.63,4.0,4.0,3.59,33662,14978528.0,11.42,11.42,0.41,4.1
2006-06-02,600640,4.2,4.25,4.46,4.07,113237,55525664.0,9.75,6.25,0.25,13.78
2006-06-05,600640,4.25,4.33,4.35,3.93,54710,25540489.0,9.88,1.88,0.08,6.66
2006-06-06,600640,4.25,4.16,4.33,4.06,27251,12948740.0,6.24,-3.93,-0.17,3.32
2006-06-07,600640,4.18,3.79,4.2,3.69,32812,14526208.0,12.26,-8.89,-0.37,3.99
2006-06-08,600640,3.79,4.22,4.22,3.75,89688,42395914.0,12.4,11.35,0.43,10.91
2006-06-09,600640,4.38,4.7,4.7,4.35,86561,44414063.0,8.29,11.37,0.48,10.53
2006-06-12,600640,4.73,4.39,4.98,4.33,90716,46855807.0,13.83,-6.6,-0.31,11.04
2006-06-13,600640,4.26,4.88,4.88,4.23,74722,39776802.0,14.81,11.16,0.49,9.09
2006-06-14,600640,4.98,5.1,5.34,4.7,95257,53374130.0,13.11,4.51,0.22,11.59
2006-06-15,600640,4.95,4.96,5.08,4.77,45764,25073501.0,6.08,-2.75,-0.14,5.57
2006-06-16,600640,4.97,4.83,5.05,4.75,41193,22234311.0,6.05,-2.62,-0.13,5.01
2006-06-19,600640,4.8,5.06,5.31,4.61,55208,30483557.0,14.49,4.76,0.23,6.72
2006-06-20,600640,5.03,5.14,5.3,4.8,53003,29877389.0,9.88,1.58,0.08,6.45
2006-06-21,600640,5.09,4.91,5.19,4.87,36470,20182137.0,6.23,-4.47,-0.23,4.44
2006-06-23,600640,4.73,4.76,4.9,4.55,38456,20272746.0,7.13,-3.05,-0.15,4.68
2006-06-26,600640,4.73,5.03,5.1,4.63,49174,26638568.0,9.87,5.67,0.27,5.98
2006-06-27,600640,5.01,5.04,5.19,4.87,36970,20625642.0,6.36,0.2,0.01,4.5
2006-06-28,600640,4.98,4.88,5.0,4.81,23919,13003870.0,3.77,-3.17,-0.16,2.91
2006-06-29,600640,4.86,4.93,5.02,4.83,28579,15612425.0,3.89,1.02,0.05,3.48
2006-06-30,600640,4.95,5.48,5.48,4.91,56964,33549174.0,11.56,11.16,0.55,6.93
2006-07-03,600640,5.74,5.9,6.02,5.61,109161,69316590.0,7.48,7.66,0.42,13.28
2006-07-04,600640,5.82,5.92,6.31,5.73,72296,47355566.0,9.83,0.34,0.02,8.8
2006-07-05,600640,5.85,6.1,6.3,5.57,66604,43855856.0,12.33,3.04,0.18,8.11
2006-07-06,600640,6.0,6.17,6.46,5.95,54953,37314251.0,8.36,1.15,0.07,6.69
2006-07-07,600640,6.04,5.92,6.2,5.85,38964,25580819.0,5.67,-4.05,-0.25,4.74
2006-07-10,600640,5.83,5.92,6.02,5.75,25010,16039589.0,4.56,0.0,0.0,3.04
2006-07-11,600640,5.9,5.98,6.1,5.86,23165,15118495.0,4.05,1.01,0.06,2.82
2006-07-12,600640,6.01,6.03,6.14,5.8,33480,21869423.0,5.69,0.84,0.05,4.07
2006-07-13,600640,5.95,5.37,6.06,5.37,42195,26056078.0,11.44,-10.95,-0.66,5.13
2006-07-14,600640,5.19,5.14,5.34,5.01,36185,20613661.0,6.15,-4.28,-0.23,4.4
2006-07-17,600640,5.12,5.24,5.4,5.04,20309,11753955.0,7.0,1.95,0.1,2.47
2006-07-18,600640,5.24,5.13,5.24,4.95,22804,12815928.0,5.53,-2.1,-0.11,2.78
2006-07-19,600640,5.08,4.86,5.12,4.76,19087,10464706.0,7.02,-5.26,-0.27,2.32
2006-07-20,600640,4.85,4.94,4.99,4.81,11462,6259888.0,3.7,1.65,0.08,1.39
2006-07-21,600640,4.95,5.05,5.21,4.95,14589,8222718.0,5.26,2.23,0.11,1.78
2006-07-24,600640,4.95,4.96,5.01,4.61,9646,5251862.0,7.92,-1.78,-0.09,1.17
2006-07-25,600640,5.01,5.15,5.23,4.99,14879,8421284.0,4.84,3.83,0.19,1.81
2006-07-26,600640,5.1,5.23,5.35,5.1,19499,11301912.0,4.85,1.55,0.08,2.37
2006-07-27,600640,5.21,5.0,5.34,4.88,22306,12487135.0,8.8,-4.4,-0.23,2.71
2006-07-28,600640,4.96,4.83,5.09,4.8,15056,8195123.0,5.8,-3.4,-0.17,1.83
2006-07-31,600640,4.75,4.45,4.83,4.43,20759,10629566.0,8.28,-7.87,-0.38,2.53
2006-08-01,600640,4.45,4.29,4.58,4.25,12552,6187872.0,7.42,-3.6,-0.16,1.53
2006-08-02,600640,4.29,4.45,4.48,4.25,12618,6204717.0,5.36,3.73,0.16,1.54
2006-08-03,600640,4.5,4.45,4.5,4.34,7931,3933697.0,3.6,0.0,0.0,0.97
2006-08-04,600640,4.44,4.21,4.48,4.14,9128,4473939.0,7.64,-5.39,-0.24,1.11
2006-08-07,600640,4.14,4.21,4.25,4.13,9684,4598953.0,2.85,0.0,0.0,1.18
2006-08-08,600640,4.22,4.47,4.49,4.22,14872,7338397.0,6.41,6.18,0.26,1.81
2006-08-09,600640,4.55,4.72,4.72,4.48,33878,17360388.0,5.37,5.59,0.25,4.12
2006-08-10,600640,4.67,4.69,4.7,4.6,18500,9628998.0,2.12,-0.64,-0.03,2.25
2006-08-11,600640,4.7,4.59,4.73,4.53,12505,6447865.0,4.26,-2.13,-0.1,1.52
2006-08-14,600640,4.56,4.25,4.61,4.24,17686,8748632.0,8.06,-7.41,-0.34,2.15
