date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2025-01-02,601933,6.3,6.8,6.97,6.17,10674663,7236041164.0,12.62,7.26,0.46,11.76
2025-01-03,601933,6.56,6.12,6.6,6.12,8274226,5154597093.0,7.06,-10.0,-0.68,9.12
2025-01-06,601933,5.9,5.96,6.39,5.61,6064584,3669924556.0,12.75,-2.61,-0.16,6.68
2025-01-07,601933,5.85,5.97,6.05,5.69,5690288,3340457561.0,6.04,0.17,0.01,6.27
2025-01-08,601933,5.95,5.94,6.09,5.74,5049432,2983318160.0,5.86,-0.5,-0.03,5.56
2025-01-09,601933,5.85,5.89,6.03,5.81,4154683,2454495972.0,3.7,-0.84,-0.05,4.58
2025-01-10,601933,5.88,5.45,5.88,5.44,4734614,2656515225.0,7.47,-7.47,-0.44,5.22
2025-01-13,601933,5.3,5.65,5.75,5.26,4270684,2395734510.0,8.99,3.67,0.2,4.71
2025-01-14,601933,5.67,5.94,6.0,5.57,5254113,3063926241.0,7.61,5.13,0.29,5.79
2025-01-15,601933,5.82,5.68,5.99,5.65,5030320,2893409563.0,5.72,-4.38,-0.26,5.54
2025-01-16,601933,5.65,5.8,5.95,5.61,4967187,2893632084.0,5.99,2.11,0.12,5.47
2025-01-17,601933,5.7,5.54,5.75,5.48,4175768,2323640416.0,4.66,-4.48,-0.26,4.6
2025-01-20,601933,5.65,5.64,5.79,5.6,3545325,2016665808.0,3.43,1.81,0.1,3.91
2025-01-21,601933,5.64,5.79,5.88,5.52,4801316,2726427491.0,6.38,2.66,0.15,5.29
2025-01-22,601933,5.79,5.88,6.0,5.71,4655320,2730604239.0,5.01,1.55,0.09,5.13
2025-01-23,601933,5.9,5.95,6.07,5.81,4872970,2885854716.0,4.42,1.19,0.07,5.37
2025-01-24,601933,5.87,5.87,5.97,5.64,3632067,2110479305.0,5.55,-1.34,-0.08,4.0
2025-01-27,601933,5.85,5.46,5.85,5.45,3369755,1893638376.0,6.81,-6.98,-0.41,3.71
2025-02-05,601933,5.43,5.2,5.43,5.17,3835763,2012079969.0,4.76,-4.76,-0.26,4.23
2025-02-06,601933,5.2,5.28,5.33,5.12,3025506,1580571022.0,4.04,1.54,0.08,3.33
2025-02-07,601933,5.23,5.36,5.48,5.16,3951119,2105036749.0,6.06,1.52,0.08,4.35
2025-02-10,601933,5.28,5.57,5.63,5.25,4744510,2605726091.0,7.09,3.92,0.21,5.23
2025-02-11,601933,5.6,5.4,5.62,5.36,3135661,1703212759.0,4.67,-3.05,-0.17,3.46
2025-02-12,601933,5.34,5.56,5.56,5.33,3119373,1709480788.0,4.26,2.96,0.16,3.44
2025-02-13,601933,5.55,5.6,5.73,5.44,4240623,2375300217.0,5.22,0.72,0.04,4.67
2025-02-14,601933,5.53,5.44,5.6,5.4,2888238,1579274236.0,3.57,-2.86,-0.16,3.18
2025-02-17,601933,5.47,5.53,5.63,5.39,3341340,1834261614.0,4.41,1.65,0.09,3.68
2025-02-18,601933,5.48,5.21,5.48,5.19,3655144,1934880679.0,5.24,-5.79,-0.32,4.03
2025-02-19,601933,5.22,5.23,5.27,5.13,2303677,1197738969.0,2.69,0.38,0.02,2.54
2025-02-20,601933,5.25,5.39,5.45,5.2,3820152,2057168866.0,4.78,3.06,0.16,4.21
2025-02-21,601933,5.35,5.28,5.39,5.19,2905504,1529712044.0,3.71,-2.04,-0.11,3.2
2025-02-24,601933,5.22,5.21,5.32,5.18,2524657,1321837979.0,2.65,-1.33,-0.07,2.78
2025-02-25,601933,5.18,5.16,5.3,5.13,2353340,1221285696.0,3.26,-0.96,-0.05,2.59
2025-02-26,601933,5.13,5.12,5.23,5.0,2765172,1416156023.0,4.46,-0.78,-0.04,3.05
2025-02-27,601933,5.13,5.28,5.41,5.1,5445116,2866126309.0,6.05,3.13,0.16,6.0
2025-02-28,601933,5.29,5.33,5.49,5.21,5542507,2967776433.0,5.3,0.95,0.05,6.11
2025-03-03,601933,5.35,5.13,5.35,5.07,3279422,1685436479.0,5.25,-3.75,-0.2,3.61
2025-03-04,601933,5.07,4.97,5.07,4.81,3165820,1559114600.0,5.07,-3.12,-0.16,3.49
2025-03-05,601933,4.9,4.99,5.1,4.87,2420296,1201781134.0,4.63,0.4,0.02,2.67
2025-03-06,601933,4.97,5.02,5.07,4.92,2489575,1246501265.0,3.01,0.6,0.03,2.74
2025-03-07,601933,5.02,5.0,5.07,4.95,1979492,991683409.0,2.39,-0.4,-0.02,2.18
2025-03-10,601933,4.95,4.97,5.04,4.87,1729474,856247993.0,3.4,-0.6,-0.03,1.91
2025-03-11,601933,4.91,4.9,4.92,4.85,2011345,981312819.0,1.41,-1.41,-0.07,2.22
2025-03-12,601933,4.81,4.81,4.94,4.76,2857871,1378050291.0,3.67,-1.84,-0.09,3.15
2025-03-13,601933,4.81,4.65,4.81,4.62,2476202,1159833161.0,3.95,-3.33,-0.16,2.73
2025-03-14,601933,4.65,4.93,4.96,4.63,4012625,1940199251.0,7.1,6.02,0.28,4.42
2025-03-17,601933,5.04,5.0,5.2,4.99,4323953,2200854998.0,4.26,1.42,0.07,4.76
2025-03-18,601933,5.05,5.4,5.5,5.01,7477300,4011621135.0,9.8,8.0,0.4,8.24
2025-03-19,601933,5.27,5.22,5.45,5.16,4919149,2593890796.0,5.37,-3.33,-0.18,5.42
2025-03-20,601933,5.2,5.08,5.35,5.05,4052634,2097651445.0,5.75,-2.68,-0.14,4.47
2025-03-21,601933,5.03,4.84,5.06,4.83,2970793,1454084750.0,4.53,-4.72,-0.24,3.27
2025-03-24,601933,4.8,4.76,4.87,4.67,2051057,973041538.0,4.13,-1.65,-0.08,2.26
2025-03-25,601933,4.82,4.7,4.83,4.68,1464943,690931294.0,3.15,-1.26,-0.06,1.61
2025-03-26,601933,4.67,4.7,4.74,4.65,1076465,505849672.0,1.91,0.0,0.0,1.19
2025-03-27,601933,4.68,4.6,4.72,4.57,1536936,710415539.0,3.19,-2.13,-0.1,1.69
2025-03-28,601933,4.58,4.51,4.59,4.48,1545109,696710235.0,2.39,-1.96,-0.09,1.7
2025-03-31,601933,4.54,4.79,4.88,4.48,3258154,1525054528.0,8.87,6.21,0.28,3.59
2025-04-01,601933,4.75,4.62,4.78,4.61,1974280,923649463.0,3.55,-3.55,-0.17,2.18
2025-04-02,601933,4.62,4.64,4.67,4.55,1190074,548973270.0,2.6,0.43,0.02,1.31
2025-04-03,601933,4.62,5.1,5.1,4.58,5561078,2779952495.0,11.21,9.91,0.46,6.13
2025-04-07,601933,5.05,5.18,5.42,4.86,8674275,4485032085.0,10.98,1.57,0.08,9.56
2025-04-08,601933,5.29,5.7,5.7,5.1,5260954,2927295197.0,11.58,10.04,0.52,5.8
2025-04-09,601933,5.99,6.04,6.27,5.65,12540422,7458104481.0,10.88,5.96,0.34,13.82
2025-04-10,601933,5.79,6.23,6.58,5.78,11150885,6886585798.0,13.25,3.15,0.19,12.29
2025-04-11,601933,6.16,6.03,6.34,5.94,8326325,5078006754.0,6.42,-3.21,-0.2,9.17
2025-04-14,601933,6.07,5.93,6.25,5.92,8052605,4887390189.0,5.47,-1.66,-0.1,8.87
2025-04-15,601933,5.9,5.9,6.1,5.72,7062727,4167009369.0,6.41,-0.51,-0.03,7.78
2025-04-16,601933,5.81,6.0,6.06,5.72,6690887,3949243959.0,5.76,1.69,0.1,7.37
2025-04-17,601933,5.86,5.81,6.08,5.76,5531657,3259889827.0,5.33,-3.17,-0.19,6.1
2025-04-18,601933,5.73,5.54,5.75,5.44,5541157,3081982977.0,5.34,-4.65,-0.27,6.11
2025-04-21,601933,5.44,5.54,5.64,5.44,3713735,2065379823.0,3.61,0.0,0.0,4.09
2025-04-22,601933,5.54,5.48,5.58,5.42,3378255,1854409282.0,2.89,-1.08,-0.06,3.72
2025-04-23,601933,5.43,5.46,5.55,5.33,3709115,2018661366.0,4.01,-0.36,-0.02,4.09
2025-04-24,601933,5.45,5.62,5.66,5.33,5646502,3124488649.0,6.04,2.93,0.16,6.22
2025-04-25,601933,5.55,5.44,5.6,5.4,3706100,2033589057.0,3.56,-3.2,-0.18,4.08
2025-04-28,601933,5.32,5.41,5.62,5.32,3299700,1810861121.0,5.51,-0.55,-0.03,3.64
2025-04-29,601933,5.36,5.21,5.39,5.12,3428346,1785430228.0,4.99,-3.7,-0.2,3.78
2025-04-30,601933,5.16,5.16,5.29,5.1,2616459,1351859914.0,3.65,-0.96,-0.05,2.88
2025-05-06,601933,5.17,5.23,5.25,5.17,2267050,1183418516.0,1.55,1.36,0.07,2.5
2025-05-07,601933,5.31,5.31,5.49,5.26,3380147,1812260653.0,4.4,1.53,0.08,3.72
2025-05-08,601933,5.26,5.34,5.44,5.2,2660785,1427141352.0,4.52,0.56,0.03,2.93
2025-05-09,601933,5.3,5.16,5.31,5.15,2364047,1226870552.0,3.0,-3.37,-0.18,2.61
2025-05-12,601933,5.18,5.24,5.31,5.11,2105897,1100124806.0,3.88,1.55,0.08,2.32
2025-05-13,601933,5.25,5.25,5.4,5.22,2346486,1238817828.0,3.44,0.19,0.01,2.59
2025-05-14,601933,5.24,5.22,5.26,5.16,1831325,954178164.0,1.9,-0.57,-0.03,2.02
2025-05-15,601933,5.21,5.12,5.21,5.11,1793773,923519127.0,1.92,-1.92,-0.1,1.98
2025-05-16,601933,5.13,5.22,5.23,5.08,2114088,1094888473.0,2.93,1.95,0.1,2.33
2025-05-19,601933,5.2,5.28,5.35,5.13,2492351,1309425627.0,4.21,1.15,0.06,2.75
2025-05-20,601933,5.24,5.34,5.44,5.21,3170713,1691620124.0,4.36,1.14,0.06,3.49
2025-05-21,601933,5.33,5.29,5.36,5.18,2271570,1192955625.0,3.37,-0.94,-0.05,2.5
2025-05-22,601933,5.25,5.15,5.28,5.14,2070173,1071392791.0,2.65,-2.65,-0.14,2.28
2025-05-23,601933,5.13,5.09,5.16,5.08,1397737,713964959.0,1.55,-1.17,-0.06,1.54
2025-05-26,601933,5.07,5.06,5.08,4.97,1439711,723684944.0,2.16,-0.59,-0.03,1.59
2025-05-27,601933,5.06,5.04,5.08,5.01,942669,474630520.0,1.38,-0.4,-0.02,1.04
2025-05-28,601933,5.03,5.05,5.12,5.01,1435864,727526383.0,2.18,0.2,0.01,1.58
2025-05-29,601933,5.02,5.06,5.07,4.92,1493546,751863781.0,2.97,0.2,0.01,1.65
2025-05-30,601933,5.06,4.98,5.06,4.96,1254652,625472359.0,1.98,-1.58,-0.08,1.38
2025-06-03,601933,4.94,4.93,5.0,4.89,1046173,516427402.0,2.21,-1.0,-0.05,1.15
2025-06-04,601933,4.93,5.07,5.07,4.9,1643581,819069652.0,3.45,2.84,0.14,1.81
2025-06-05,601933,5.02,5.03,5.07,4.97,1155487,580652413.0,1.97,-0.79,-0.04,1.27
2025-06-06,601933,5.03,5.06,5.17,5.02,2133895,1084553962.0,2.98,0.6,0.03,2.35
2025-06-09,601933,5.04,5.0,5.11,4.97,2285653,1146382736.0,2.77,-1.19,-0.06,2.52
2025-06-10,601933,4.99,4.92,5.0,4.9,1564216,771806428.0,2.0,-1.6,-0.08,1.72
2025-06-11,601933,4.91,4.95,5.0,4.88,1097212,542724648.0,2.44,0.61,0.03,1.21
2025-06-12,601933,4.93,4.97,5.02,4.91,1250491,621112310.0,2.22,0.4,0.02,1.38
2025-06-13,601933,4.94,4.86,4.94,4.85,1391713,678952459.0,1.81,-2.21,-0.11,1.53
2025-06-16,601933,4.83,4.89,4.91,4.81,909729,443633429.0,2.06,0.62,0.03,1.0
2025-06-17,601933,4.89,4.89,4.94,4.87,850266,416775270.0,1.43,0.0,0.0,0.94
2025-06-18,601933,4.9,4.87,4.93,4.85,839611,410138104.0,1.64,-0.41,-0.02,0.93
2025-06-19,601933,4.86,4.77,4.87,4.76,1044045,501631160.0,2.26,-2.05,-0.1,1.15
2025-06-20,601933,4.77,4.75,4.84,4.75,980472,469645906.0,1.89,-0.42,-0.02,1.08
2025-06-23,601933,4.71,4.76,4.78,4.69,854479,404965805.0,1.89,0.21,0.01,0.94
2025-06-24,601933,4.76,4.86,4.86,4.75,1183488,571304259.0,2.31,2.1,0.1,1.3
2025-06-25,601933,4.94,4.89,4.99,4.81,1811469,883000578.0,3.7,0.62,0.03,2.0
2025-06-26,601933,4.85,4.84,4.91,4.82,1446253,702003315.0,1.84,-1.02,-0.05,1.59
2025-06-27,601933,4.82,4.84,4.89,4.8,1207648,585713452.0,1.86,0.0,0.0,1.33
2025-06-30,601933,4.83,4.9,4.92,4.81,1626923,794081055.0,2.27,1.24,0.06,1.79
2025-07-01,601933,4.9,4.85,4.91,4.83,861864,418366975.0,1.63,-1.02,-0.05,0.95
2025-07-02,601933,4.87,4.83,4.95,4.82,1582775,770786575.0,2.68,-0.41,-0.02,1.74
